idSite;NomSite;"Typologie MTK"
293;ST JEAN DE BOURNAY PDC;PDC
402;ST JEAN DE MAURIENNE;BP
118;ST JEAN DE MUZOLS BPX;BP
188;ST JEAN EN ROYANS;Hors MTK
495;ST JEOIRE EN FAUCIGNY;BP
308;ST LAURENT DU PONT;PDC
189;ST MARCEL LES VALENCE;BP
309;ST MARCELLIN;BP
298;ST MARCELLIN BP;PDC
421;ST MARTIN BELLEVILLE PDC;BP
354;ST MARTIN D HERES;PDC
353;ST MARTIN D HERES - reste friche Pkext01;BP
340;ST MARTIN D HERES ILOT FACTEUR;BP
310;ST MARTIN HERES CROIX ROUGE;BP
236;ST MARTIN LE VINOUX BP;BP
56;ST MAURICE DE BEYNOST;BP
224;ST MAURICE L EXIL CC;BP
404;ST MICHEL DE MAURIENNE;BP
93;ST PAUL LE JEUNE;BP
203;ST PAUL TROIS CHATEAUX DELOC;PDC
119;ST PERAY BPX;BP
120;ST PERAY CDIST;PDC
312;ST PIERRE DE CHARTREUSE BPX;BP
121;ST PRIVAT BPX;BP
190;ST RAMBERT D ALBON;PDC
57;ST RAMBERT EN BUGEY;BP
191;ST SORLIN EN VALLOIRE;BP
58;ST TRIVIER DE COURTES;PDC
155;ST VALLIER;BP
401;STE HELENE SUR ISERE;BP
196;SUZE LA ROUSSE BPX;PDC
206;TAIN L HERMITAGE;BP
502;TALLOIRES;PDC
440;TANINGES CDIS;BP
437;TANINGES GRAND PUBLIC;BP
197;TAULIGNAN;BP
124;TEIL (LE) HP;PDC
61;TENAY;BP
315;TENCIN;PDC
62;THOIRY;PDC
63;THOISSEY;PDC
503;THONES;BP
444;THONES CDIS;BP
445;THONON CDIS;BP
528;THONON LES BAINS;PDC
504;THORENS GLIERES;PDC
125;THUEYTS;BP
430;THYEZ;BP
405;TIGNES PRINCIPAL;PDC
81;TOURNON QUAI FARCONNET;BP
84;TOURNON SUR RHONE CDIS;PDC
73;TREVOUX;PDC
317;TULLINS;PDC
303;TULLINS ILOT FACTEUR;BP
406;UGINE;PDC
311;URIAGE;BP
407;VAL D'ISERE;BP
8;VAL REVERMONT GAB;BP
198;VALENCE CHAMPIONNET;PI
200;VALENCE DSEM;BP
147;VALENCE EUROPE BP;BP
204;VALENCE HERRIOT;PI
193;VALENCE LE PLAN DELOC;BP
201;VALENCE PPDC MF;PI
199;VALENCE ROSSINI;BP
137;VALENCE VICTOR HUGO;PDC
126;VALGORGE BPX;BP
436;VALLEIRY LES CITADIES;PDC
408;VALLOIRE;BP
127;VALLON PONT D'ARC;BP
90;VALS LES BAINS BP;BP
128;VANS (LES);BP
318;VARCES ALLIERES RISSET;BP
347;VARCES PDC;PDC
466;VEIGY FONCENEX;BP
129;VERNOUX EN VIVARAIS;PDC
432;VEYRIER DU LAC GA;PDC
344;VEZERONCE CURTIN PDC;PDC
414;VICTORIA BANCAIRE;BP
211;VIENNE CDIS;BP
214;VIENNE ESTRESSIN;BP
321;VIENNE PRINCIPAL;BP
322;VIF;BP
323;VILLARD DE LANS;PDC
207;VILLARD DE LANS PDC1;PDC
12;VILLARS LES DOMBES CC;BP
516;VILLE EN SALLAZ;BP
507;VILLE LA GRAND;BP
324;VILLEFONTAINE;BP
83;VILLENEUVE DE BERG;BP
325;VILLETTE D ANTHON;PDC
326;VILLETTE DE VIENNE;PDC
327;VINAY;BP
64;VIRIEU LE GRAND;BP
508;VIRY;BP
515;VIRY COURRIER;BP
409;VIVIERS DU LAC;BP
328;VIZILLE;BP
215;VIZILLE GARAGE;PDC
131;VOGUE GAB;PI
329;VOIRON;BP
345;VOIRON ACCUEIL ENTREPRISES;BP
65;VONNAS;BP
331;VOREPPE;BP
130;VOULTE SUR RHONE (LA);BP
410;YENNE;BP
510;YVOIRE GAB;BP
